End Date;End Time;NO2
18/01/2023;24:00:00;30.35371
19/01/2023;01:00:00;45.77609
19/01/2023;02:00:00;55.23665
19/01/2023;03:00:00;44.98291
19/01/2023;04:00:00;32.11745
19/01/2023;05:00:00;40.71677
19/01/2023;06:00:00;53.63847
19/01/2023;07:00:00;69.67848
19/01/2023;08:00:00;62.69642
19/01/2023;09:00:00;80.90509
19/01/2023;10:00:00;62.39225
19/01/2023;11:00:00;53.63579
19/01/2023;12:00:00;54.56500
19/01/2023;13:00:00;41.07202
19/01/2023;14:00:00;36.89180
19/01/2023;15:00:00;48.63290
19/01/2023;16:00:00;58.08603
19/01/2023;17:00:00;77.63144
19/01/2023;18:00:00;84.54553
19/01/2023;19:00:00;83.02370
19/01/2023;20:00:00;80.28797
19/01/2023;21:00:00;68.28632
19/01/2023;22:00:00;66.85237
19/01/2023;23:00:00;48.51569
19/01/2023;24:00:00;32.39588
20/01/2023;01:00:00;28.15839
20/01/2023;02:00:00;16.40532
20/01/2023;03:00:00;12.52222
20/01/2023;04:00:00;8.83975
20/01/2023;05:00:00;34.31521
20/01/2023;06:00:00;35.74967
20/01/2023;07:00:00;48.08864
20/01/2023;08:00:00;53.11675
20/01/2023;09:00:00;48.79025
20/01/2023;10:00:00;37.06982
20/01/2023;11:00:00;30.01903
20/01/2023;12:00:00;28.43475
20/01/2023;13:00:00;33.23223
20/01/2023;14:00:00;29.56316
20/01/2023;15:00:00;40.82655
20/01/2023;16:00:00;50.13970
20/01/2023;17:00:00;57.03662
20/01/2023;18:00:00;55.77770
20/01/2023;19:00:00;39.57924
20/01/2023;20:00:00;30.58553
20/01/2023;21:00:00;24.95765
20/01/2023;22:00:00;22.89109
20/01/2023;23:00:00;24.29041
20/01/2023;24:00:00;28.55543
21/01/2023;01:00:00;35.30273
21/01/2023;02:00:00;34.08596
21/01/2023;03:00:00;35.94486
21/01/2023;04:00:00;33.62683
21/01/2023;05:00:00;33.63091
21/01/2023;06:00:00;35.74737
21/01/2023;07:00:00;35.51863
21/01/2023;08:00:00;48.57922
21/01/2023;09:00:00;54.16675
21/01/2023;10:00:00;47.11374
21/01/2023;11:00:00;39.80669
21/01/2023;12:00:00;30.20999
21/01/2023;13:00:00;15.17010
21/01/2023;14:00:00;11.50741
21/01/2023;15:00:00;10.06587
21/01/2023;16:00:00;17.50315
21/01/2023;17:00:00;32.35915
21/01/2023;18:00:00;74.29797
21/01/2023;19:00:00;61.30463
21/01/2023;20:00:00;66.86752
21/01/2023;21:00:00;68.28728
21/01/2023;22:00:00;53.90445
21/01/2023;23:00:00;43.93434
21/01/2023;24:00:00;40.39855
22/01/2023;01:00:00;33.54266
22/01/2023;02:00:00;34.62992
22/01/2023;03:00:00;31.47503
22/01/2023;04:00:00;26.10273
22/01/2023;05:00:00;36.91206
22/01/2023;06:00:00;42.47679
22/01/2023;07:00:00;45.97085
22/01/2023;08:00:00;40.72114
22/01/2023;09:00:00;46.10326
22/01/2023;10:00:00;45.95360
22/01/2023;11:00:00;48.06169
22/01/2023;12:00:00;54.96240
22/01/2023;13:00:00;63.78695
22/01/2023;14:00:00;30.60400
22/01/2023;15:00:00;17.65381
22/01/2023;16:00:00;66.13370
22/01/2023;17:00:00;73.62866
22/01/2023;18:00:00;75.02530
22/01/2023;19:00:00;78.20517
22/01/2023;20:00:00;65.09337
22/01/2023;21:00:00;65.21682
22/01/2023;22:00:00;61.17742
22/01/2023;23:00:00;53.48408
22/01/2023;24:00:00;43.27877
23/01/2023;01:00:00;42.20512
23/01/2023;02:00:00;37.80400
23/01/2023;03:00:00;50.39249
23/01/2023;04:00:00;42.99751
23/01/2023;05:00:00;40.10272
23/01/2023;06:00:00;34.85203
23/01/2023;07:00:00;48.11988
23/01/2023;08:00:00;58.21095
23/01/2023;09:00:00;69.95763
23/01/2023;10:00:00;54.66924
23/01/2023;11:00:00;47.47882
23/01/2023;12:00:00;35.26476
23/01/2023;13:00:00;92.50794
23/01/2023;14:00:00;30.77554
23/01/2023;15:00:00;29.20963
23/01/2023;16:00:00;25.16355
23/01/2023;17:00:00;48.72165
23/01/2023;18:00:00;77.29450
23/01/2023;19:00:00;71.50214
23/01/2023;20:00:00;69.91886
23/01/2023;21:00:00;66.65760
23/01/2023;22:00:00;62.76570
23/01/2023;23:00:00;56.55545
23/01/2023;24:00:00;55.35818
24/01/2023;01:00:00;53.10898
24/01/2023;02:00:00;48.09287
24/01/2023;03:00:00;40.08372
24/01/2023;04:00:00;39.18248
24/01/2023;05:00:00;41.34262
24/01/2023;06:00:00;42.93995
24/01/2023;07:00:00;56.13269
24/01/2023;08:00:00;61.88245
24/01/2023;09:00:00;62.85370
24/01/2023;10:00:00;61.07952
24/01/2023;11:00:00;54.90796
24/01/2023;12:00:00;35.34280
24/01/2023;13:00:00;21.99221
24/01/2023;14:00:00;14.04574
24/01/2023;15:00:00;14.96765
24/01/2023;16:00:00;38.52074
24/01/2023;17:00:00;64.67637
24/01/2023;18:00:00;69.58286
24/01/2023;19:00:00;75.37202
24/01/2023;20:00:00;67.13640
24/01/2023;21:00:00;56.02223
24/01/2023;22:00:00;57.98442
24/01/2023;23:00:00;46.89042
24/01/2023;24:00:00;44.21948
25/01/2023;01:00:00;51.21511
25/01/2023;02:00:00;51.23541
25/01/2023;03:00:00;52.40289
25/01/2023;04:00:00;50.12177
25/01/2023;05:00:00;43.10034
25/01/2023;06:00:00;47.68042
25/01/2023;07:00:00;49.04652
25/01/2023;08:00:00;53.88318
25/01/2023;09:00:00;54.07883
25/01/2023;10:00:00;48.40835
25/01/2023;11:00:00;43.79219
25/01/2023;12:00:00;41.44362
25/01/2023;13:00:00;52.34583
25/01/2023;14:00:00;50.03369
25/01/2023;15:00:00;45.86759
25/01/2023;16:00:00;56.88816
25/01/2023;17:00:00;52.35365
25/01/2023;18:00:00;50.55299
25/01/2023;19:00:00;55.70205
25/01/2023;20:00:00;55.84477
25/01/2023;21:00:00;44.97488
25/01/2023;22:00:00;28.95380
25/01/2023;23:00:00;21.10258
25/01/2023;24:00:00;15.17610
26/01/2023;01:00:00;15.98021
26/01/2023;02:00:00;10.05358
26/01/2023;03:00:00;9.85678
26/01/2023;04:00:00;11.14256
26/01/2023;05:00:00;13.43504
26/01/2023;06:00:00;19.19242
26/01/2023;07:00:00;24.76648
26/01/2023;08:00:00;37.15944
26/01/2023;09:00:00;35.96474
26/01/2023;10:00:00;32.20159
26/01/2023;11:00:00;28.01826
26/01/2023;12:00:00;34.98921
26/01/2023;13:00:00;37.02518
26/01/2023;14:00:00;29.80446
26/01/2023;15:00:00;27.66237
26/01/2023;16:00:00;26.61444
26/01/2023;17:00:00;40.57833
26/01/2023;18:00:00;36.52473
26/01/2023;19:00:00;32.16476
26/01/2023;20:00:00;23.90861
26/01/2023;21:00:00;28.24341
26/01/2023;22:00:00;21.44630
26/01/2023;23:00:00;16.49353
26/01/2023;24:00:00;14.47066
27/01/2023;01:00:00;8.05776
27/01/2023;02:00:00;9.27502
27/01/2023;03:00:00;8.86527
27/01/2023;04:00:00;11.87827
27/01/2023;05:00:00;12.25098
27/01/2023;06:00:00;23.68108
27/01/2023;07:00:00;40.71470
27/01/2023;08:00:00;47.82297
27/01/2023;09:00:00;55.43890
27/01/2023;10:00:00;46.59941
27/01/2023;11:00:00;32.64212
27/01/2023;12:00:00;29.15516
27/01/2023;13:00:00;28.70375
27/01/2023;14:00:00;32.43753
27/01/2023;15:00:00;37.03029
27/01/2023;16:00:00;54.40947
27/01/2023;17:00:00;70.53138
27/01/2023;18:00:00;71.07906
27/01/2023;19:00:00;65.68915
27/01/2023;20:00:00;69.80586
27/01/2023;21:00:00;55.76790
27/01/2023;22:00:00;51.32142
27/01/2023;23:00:00;43.41472
27/01/2023;24:00:00;38.67405
